R: 162 	 G: 133 	 B: 137
R: 80 	 G: 51 	 B: 55
R: 56 	 G: 39 	 B: 40
R: 117 	 G: 101 	 B: 101
R: 36 	 G: 19 	 B: 19
R: 97 	 G: 80 	 B: 80
R: 139 	 G: 124 	 B: 112
R: 98 	 G: 83 	 B: 71
R: 118 	 G: 103 	 B: 91
R: 98 	 G: 83 	 B: 71
R: 104 	 G: 89 	 B: 77
R: 144 	 G: 130 	 B: 118
R: 104 	 G: 89 	 B: 77
R: 144 	 G: 130 	 B: 118
R: 116 	 G: 87 	 B: 91
R: 218 	 G: 189 	 B: 193
R: 116 	 G: 87 	 B: 91
R: 157 	 G: 128 	 B: 132
R: 246 	 G: 241 	 B: 237
R: 154 	 G: 150 	 B: 146
R: 216 	 G: 211 	 B: 207
R: 124 	 G: 119 	 B: 115
R: 175 	 G: 170 	 B: 166
R: 185 	 G: 180 	 B: 176
R: 154 	 G: 149 	 B: 145
R: 185 	 G: 180 	 B: 176
R: 118 	 G: 115 	 B: 99
R: 118 	 G: 115 	 B: 99
R: 190 	 G: 187 	 B: 171
R: 149 	 G: 146 	 B: 130
R: 163 	 G: 160 	 B: 144
R: 194 	 G: 191 	 B: 175
R: 173 	 G: 170 	 B: 154
R: 143 	 G: 140 	 B: 124
R: 161 	 G: 146 	 B: 134
R: 150 	 G: 135 	 B: 124
R: 161 	 G: 146 	 B: 134
R: 171 	 G: 156 	 B: 144
R: 176 	 G: 161 	 B: 149
R: 186 	 G: 171 	 B: 160
R: 166 	 G: 151 	 B: 139
R: 135 	 G: 120 	 B: 109
R: 122 	 G: 107 	 B: 95
R: 91 	 G: 77 	 B: 65
R: 142 	 G: 128 	 B: 116
R: 132 	 G: 117 	 B: 106
R: 111 	 G: 96 	 B: 84
R: 111 	 G: 96 	 B: 84
R: 90 	 G: 76 	 B: 64
R: 90 	 G: 76 	 B: 64
R: 62 	 G: 47 	 B: 35
R: 133 	 G: 118 	 B: 107
R: 82 	 G: 67 	 B: 56
R: 133 	 G: 118 	 B: 107
R: 123 	 G: 108 	 B: 96
R: 123 	 G: 108 	 B: 96
R: 164 	 G: 149 	 B: 137
R: 164 	 G: 149 	 B: 137
R: 133 	 G: 116 	 B: 116
R: 143 	 G: 127 	 B: 127
R: 164 	 G: 147 	 B: 147
R: 154 	 G: 137 	 B: 137
R: 156 	 G: 151 	 B: 147
R: 85 	 G: 80 	 B: 76
R: 75 	 G: 70 	 B: 66
R: 3 	 G: 4294967295 	 B: 4294967291
R: 19 	 G: 14 	 B: 10
R: 100 	 G: 95 	 B: 91
R: 151 	 G: 146 	 B: 142
R: 213 	 G: 208 	 B: 204
R: 158 	 G: 155 	 B: 139
R: 178 	 G: 175 	 B: 159
R: 198 	 G: 195 	 B: 180
R: 178 	 G: 175 	 B: 159
R: 154 	 G: 139 	 B: 128
R: 114 	 G: 99 	 B: 87
R: 195 	 G: 180 	 B: 168
R: 175 	 G: 160 	 B: 148
R: 111 	 G: 98 	 B: 74
R: 111 	 G: 98 	 B: 74
R: 151 	 G: 138 	 B: 115
R: 151 	 G: 138 	 B: 115
R: 89 	 G: 74 	 B: 62
R: 130 	 G: 115 	 B: 103
R: 120 	 G: 105 	 B: 93
R: 140 	 G: 125 	 B: 113
R: 126 	 G: 111 	 B: 99
R: 156 	 G: 141 	 B: 130
R: 177 	 G: 162 	 B: 150
R: 207 	 G: 192 	 B: 181
R: 134 	 G: 121 	 B: 97
R: 113 	 G: 100 	 B: 77
R: 134 	 G: 121 	 B: 97
R: 134 	 G: 121 	 B: 97
R: 103 	 G: 102 	 B: 75
R: 103 	 G: 102 	 B: 75
R: 144 	 G: 143 	 B: 115
R: 144 	 G: 143 	 B: 115
R: 131 	 G: 118 	 B: 94
R: 151 	 G: 138 	 B: 115
R: 121 	 G: 108 	 B: 84
R: 141 	 G: 128 	 B: 105
R: 181 	 G: 167 	 B: 155
R: 192 	 G: 177 	 B: 165
R: 171 	 G: 156 	 B: 145
R: 181 	 G: 167 	 B: 155
R: 193 	 G: 177 	 B: 177
R: 173 	 G: 156 	 B: 156
R: 163 	 G: 146 	 B: 146
R: 142 	 G: 126 	 B: 126
R: 159 	 G: 129 	 B: 144
R: 149 	 G: 118 	 B: 134
R: 169 	 G: 139 	 B: 155
R: 200 	 G: 169 	 B: 185
R: 90 	 G: 75 	 B: 63
R: 141 	 G: 126 	 B: 114
R: 100 	 G: 85 	 B: 73
R: 90 	 G: 75 	 B: 63
R: 161 	 G: 146 	 B: 134
R: 171 	 G: 156 	 B: 144
R: 110 	 G: 95 	 B: 83
R: 59 	 G: 44 	 B: 32
R: 174 	 G: 159 	 B: 147
R: 102 	 G: 87 	 B: 75
R: 51 	 G: 36 	 B: 24
